PLT.SPL.BPS.10001 ,Batching Plant-CP30-Millers ,30 CUM ,0,527,34,113.71,3411.3,2117.5,0,0
PLT.SPL.CRU.10030 by 2 ,Crusher-Metso-320TPH ,320 MT ,0,527,146.85,288.25,92240,58042.91,0,0
PLT.SPL.HMP.10003 ,HotMix Plant - 160 TPH -Speco - TSAP 2000 FFW ,,,527,0,116.4,0,0,0,"16821.00"
PLT.SPL.HMP.10007 ,Hot Mix Plant-Lintec,240 MT ,0,527,136,125.87,30208.8,17694.2,0,"21196.00"
PLT.SPL.WMP.10002 ,Apollo Wet Mix Plant-WMM Plant ,200 MT ,0,527,0,83.5,16700,12764.83,0,0
EQP.COM.BMM.10009 ,Apollo Kerb Laying Machine KP40 - 2 ,40 MTR ,1.5,527,0,53.69,2147.6,0,80.54,110
EQP.COM.BMM.10008 ,Apollo Kerb Laying Machine KP40 - 1 ,40 MTR ,1.5,527,51,39.25,1570,0,58.88,146
EQP.COM.BMM.10010 ,Apollo Kerb Laying Machine KP40 - 3 ,40 MTR ,1.5,527,13.3,34.6,1384,0,51.9,0
EQP.GEN.HCG.10027 ,CAT Generator 500 Kva ,400000 WAT ,55,527,0,346.3,138520000,0,"19046.50",822
EQP.GEN.HCG.10024 ,VOLVO PENTA GENERATOR 500 KVA ,400000 WAT ,55,527,0,201.8,80720000,0,"11099.00","11323.00"
